Altersgruppe,Untergrenze,insgesamt,m,w
unter 1 Jahr,0,59873,30848,29025
1 bis unter 2 Jahre,1,61182,31449,29733
2 bis unter 3 Jahre,2,61820,31680,30140
3 bis unter 4 Jahre,3,62265,31872,30393
4 bis unter 5 Jahre,4,60365,31088,29277
5 bis unter 6 Jahre,5,58721,29983,28738
6 bis unter 7 Jahre,6,56810,29153,27657
7 bis unter 8 Jahre,7,56583,29104,27479
8 bis unter 9 Jahre,8,56470,29034,27436
9 bis unter 10 Jahre,9,57462,29324,28138
10 bis unter 11 Jahre,10,56646,29145,27501
11 bis unter 12 Jahre,11,57881,29569,28312
12 bis unter 13 Jahre,12,57791,29863,27928
13 bis unter 14 Jahre,13,56564,28948,27616
14 bis unter 15 Jahre,14,57750,29770,27980
15 bis unter 16 Jahre,15,58630,30186,28444
16 bis unter 17 Jahre,16,58280,30021,28259
17 bis unter 18 Jahre,17,59256,30831,28425
18 bis unter 19 Jahre,18,61249,31992,29257
19 bis unter 20 Jahre,19,65788,34130,31658
20 bis unter 21 Jahre,20,68216,35826,32390
21 bis unter 22 Jahre,21,71507,37502,34005
22 bis unter 23 Jahre,22,76372,40330,36042
23 bis unter 24 Jahre,23,75466,39465,36001
24 bis unter 25 Jahre,24,74859,39155,35704
25 bis unter 26 Jahre,25,76206,39554,36652
26 bis unter 27 Jahre,26,78050,40394,37656
27 bis unter 28 Jahre,27,78890,40860,38030
28 bis unter 29 Jahre,28,81133,41733,39400
29 bis unter 30 Jahre,29,85460,43933,41527
30 bis unter 31 Jahre,30,84513,43473,41040
31 bis unter 32 Jahre,31,85303,44078,41225
32 bis unter 33 Jahre,32,82789,42357,40432
33 bis unter 34 Jahre,33,81531,41557,39974
34 bis unter 35 Jahre,34,78552,40145,38407
35 bis unter 36 Jahre,35,79375,40066,39309
36 bis unter 37 Jahre,36,78795,39608,39187
37 bis unter 38 Jahre,37,81405,40775,40630
38 bis unter 39 Jahre,38,81081,40093,40988
39 bis unter 40 Jahre,39,81676,40622,41054
40 bis unter 41 Jahre,40,78433,38862,39571
41 bis unter 42 Jahre,41,77552,38449,39103
42 bis unter 43 Jahre,42,76575,37687,38888
43 bis unter 44 Jahre,43,76671,37889,38782
44 bis unter 45 Jahre,44,74722,37266,37456
45 bis unter 46 Jahre,45,75982,37933,38049
46 bis unter 47 Jahre,46,76197,37831,38366
47 bis unter 48 Jahre,47,81291,40424,40867
48 bis unter 49 Jahre,48,87631,43663,43968
49 bis unter 50 Jahre,49,91444,45645,45799
50 bis unter 51 Jahre,50,97678,49217,48461
51 bis unter 52 Jahre,51,102234,51713,50521
52 bis unter 53 Jahre,52,103653,52115,51538
53 bis unter 54 Jahre,53,105478,53168,52310
54 bis unter 55 Jahre,54,105423,53006,52417
55 bis unter 56 Jahre,55,105842,53456,52386
56 bis unter 57 Jahre,56,103650,52230,51420
57 bis unter 58 Jahre,57,99275,49775,49500
58 bis unter 59 Jahre,58,96290,47915,48375
59 bis unter 60 Jahre,59,92810,46190,46620
60 bis unter 61 Jahre,60,89427,44395,45032
61 bis unter 62 Jahre,61,84544,41865,42679
62 bis unter 63 Jahre,62,82050,40484,41566
63 bis unter 64 Jahre,63,78663,38582,40081
64 bis unter 65 Jahre,64,74892,36419,38473
65 bis unter 66 Jahre,65,72870,35079,37791
66 bis unter 67 Jahre,66,68898,32744,36154
67 bis unter 68 Jahre,67,69276,32831,36445
68 bis unter 69 Jahre,68,67654,31883,35771
69 bis unter 70 Jahre,69,68899,32664,36235
70 bis unter 71 Jahre,70,67887,32052,35835
71 bis unter 72 Jahre,71,63291,30040,33251
72 bis unter 73 Jahre,72,58794,27532,31262
73 bis unter 74 Jahre,73,49697,23344,26353
74 bis unter 75 Jahre,74,40914,18996,21918
75 bis unter 80 Jahre,75,274889,124982,149907
80 bis unter 85 Jahre,80,231684,98394,133290
85 bis unter 90 Jahre,85,110529,41446,69083
90 Jahre und mehr,90,61826,17578,44248